zip,totkbtu,avgktbu,totcust,gascust,eleccust,gaskbtu,eleckbtu
95018,141667765.9,2838.805825,49904,16317,33587,70954100,70713665.88
95019,73892782.55,2148.60814,34391,14427,19964,51099500,22793282.55
95020,1169953316,2709.605161,431780,199965,231815,714029600,455923716.4
95023,925294025,2467.852171,374939,175950,198989,578052400,347241625
95030,542090292.6,4274.890327,126808,60296,66512,355415900,186674392.6
95032,773597649.7,3080.847195,251099,118214,132885,500570000,273027649.7
95033,105634940,2718.766149,38854,,38854,,105634940
95035,1181350502,2226.086099,530685,247334,283351,745630800,435719701.7
95037,1116290804,3000.20911,372071,171587,200484,678556200,437734603.7
95039,14690378.59,2985.242551,4921,1709,3212,8627200,6063178.592
95041,21158390.55,2588.498966,8174,4002,4172,15297100,5861290.552
95043,5767470.788,2118.835705,2722,0,2722,0,5767470.788
95044,4906879.088,2146.49129,2286,,2286,,4906879.088
95045,70339192.55,2448.45421,28728,10831,17897,37676700,32662492.55
95046,144911502.1,3889.301971,37259,16275,20984,83131800,61779702.14
95050,460881300,3343.887309,137828,137828,0,460881300,0
95051,738082200,3802.665691,194096,194096,,738082200,
95054,262056400,3194.874671,82024,82024,,262056400,
95060,862831939.9,2410.980172,357876,155491,202385,568472200,294359739.9
95062,740159132,2315.131549,319705,152805,166900,523058400,217100732
95064,13852977.85,1476.076489,9385,4664,4721,10009800,3843177.852
95065,156206046.5,2596.769068,60154,24888,35266,92611000,63595046.5
95066,344322359.3,3031.780642,113571,49917,63654,223658600,120663759.3
95070,1087471561,3924.884096,277071,135767,141304,730268500,357203061.3
95073,191812886.7,2751.188851,69720,29273,40447,111426600,80386286.68
95075,13285686.47,2980.189877,4458,1988,2470,7722400,5563286.472
95076,1137997066,2274.747571,500274,218885,281389,722894600,415102466.5
95110,271112208.9,1983.336691,136695,52911,83784,158115200,112997008.9
95111,797310924.8,2462.6832,323757,145684,178073,476685800,320625124.8
95112,827250370.3,2038.179967,405877,163128,242749,495565500,331684870.3
95113,36233725.49,2045.138877,17717,1745,15972,12046600,24187125.49
